epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5089285969734192,0.5189094543457031,9.999999747378752e-06,0.7043811678886414,0.5099143385887146,0.45921429991722107,0.9760000109672546,0.9972171783447266,0.08079999685287476,0.965753436088562,0.9869999885559082
1,0.5115714073181152,0.5246610641479492,9.999999747378752e-06,0.6964251399040222,0.5124176144599915,0.47749999165534973,0.987333357334137,0.9984567165374756,0.043176259845495224,0.9847480058670044,0.9900000095367432
2,0.5095714330673218,0.5237755179405212,9.999999747378752e-06,0.6955407857894897,0.5100919008255005,0.4837857186794281,0.9884999990463257,0.9985402226448059,0.03668694198131561,0.9896425008773804,0.987333357334137
3,0.5096428394317627,0.5256847143173218,9.999999747378752e-06,0.6934183835983276,0.5101305842399597,0.48557141423225403,0.9911666512489319,0.9990903735160828,0.028111282736063004,0.992315411567688,0.9900000095367432
4,0.5110357403755188,0.5231612920761108,9.999999747378752e-06,0.6948174238204956,0.51149982213974,0.49085715413093567,0.9923333525657654,0.9994754195213318,0.024983350187540054,0.9946416616439819,0.9900000095367432
5,0.5156785845756531,0.5270609259605408,9.999999747378752e-06,0.6927049160003662,0.5165298581123352,0.48992857336997986,0.9904999732971191,0.9991586208343506,0.027882855385541916,0.9946218729019165,0.9863333106040955
6,0.5156428813934326,0.5286840796470642,9.999999747378752e-06,0.6921435594558716,0.516076922416687,0.5021428465843201,0.9921666383743286,0.9994640350341797,0.022735733538866043,0.9953035712242126,0.9890000224113464
7,0.5145357251167297,0.5281589031219482,9.999999747378752e-06,0.6906013488769531,0.5151968002319336,0.4927857220172882,0.9931666851043701,0.9995852112770081,0.01934138499200344,0.9963099360466003,0.9900000095367432
8,0.5155714154243469,0.5284275412559509,9.999999747378752e-06,0.6914635896682739,0.5154237747192383,0.5203571319580078,0.9928333163261414,0.9995983839035034,0.018585655838251114,0.9956419467926025,0.9900000095367432
9,0.5104643106460571,0.523646354675293,9.999999747378752e-06,0.6925023198127747,0.5107935070991516,0.4952142834663391,0.9929999709129333,0.9995867609977722,0.020347032696008682,0.9966420531272888,0.9893333315849304
